# f=31.67754485207151,a=6760.000656878837,e=0.004426870208295852,i=26.264873442639626,Om=287.36198671622157,w=323.08397712963483,total_time=3,timestep=0.1
Bx,By,Bz,X,Y,Z
2.841159798891476385e+01,3.252154718157976632e+00,5.835525699256721488e+00,-1.353711997560197005e+03,-6.592314861986927099e+03,-2.523903170723581013e+02
2.841143909008184565e+01,3.251375580972761803e+00,5.839420158630331592e+00,-1.353085438365757909e+03,-6.592458336592147134e+03,-2.520505221190142890e+02
2.841128005990155714e+01,3.250596090011494521e+00,5.843314644474091324e+00,-1.352458863196748325e+03,-6.592601734753286109e+03,-2.517107238764202464e+02
2.841112089894110326e+01,3.249816246002176889e+00,5.847209155115638879e+00,-1.351832273021682795e+03,-6.592745056271485737e+03,-2.513709223490131137e+02
2.841096160685953720e+01,3.249036048378625363e+00,5.851103691001908302e+00,-1.351205667366848729e+03,-6.592888301243850947e+03,-2.510311175412298041e+02
2.841080218361878806e+01,3.248255497006145909e+00,5.854998251873171355e+00,-1.350579046239314948e+03,-6.593031469668804675e+03,-2.506913094575074012e+02
2.841064262918081695e+01,3.247474591750149742e+00,5.858892837469623416e+00,-1.349952409646113438e+03,-6.593174561544789867e+03,-2.503514981022829886e+02
2.841048294350756009e+01,3.246693332476160876e+00,5.862787447531300877e+00,-1.349325757594276638e+03,-6.593317576870238554e+03,-2.500116834799937351e+02
2.841032312656114200e+01,3.245911719049877409e+00,5.866682081798106907e+00,-1.348699090090849722e+03,-6.593460515643589133e+03,-2.496718655950768095e+02
2.841016317830366589e+01,3.245129751337084034e+00,5.870576740009790129e+00,-1.348072407142889915e+03,-6.593603377863272726e+03,-2.493320444519693808e+02
2.841000309869741969e+01,3.244347429203706668e+00,5.874471421906005908e+00,-1.347445708757425564e+03,-6.593746163527732278e+03,-2.489922200551086462e+02
2.840984288770458832e+01,3.243564752515776917e+00,5.878366127226222204e+00,-1.346818994941507526e+03,-6.593888872635402549e+03,-2.486523924089320019e+02
2.840968254528759118e+01,3.242781721139488482e+00,5.882260855709839475e+00,-1.346192265702174154e+03,-6.594031505184726484e+03,-2.483125615178765884e+02
2.840952207140875529e+01,3.241998334941115889e+00,5.886155607096075215e+00,-1.345565521046463800e+03,-6.594174061174144299e+03,-2.479727273863798871e+02
2.840936146603064572e+01,3.241214593787098419e+00,5.890050381124035894e+00,-1.344938760981423911e+03,-6.594316540602095301e+03,-2.476328900188791806e+02
2.840920072911570315e+01,3.240430497543962840e+00,5.893945177532664559e+00,-1.344311985514102389e+03,-6.594458943467022436e+03,-2.472930494198119504e+02
2.840903986032327566e+01,3.239646045643223449e+00,5.897839996767172188e+00,-1.343685194170652721e+03,-6.594601269865352151e+03,-2.469532055936156212e+02
2.840887886022263231e+01,3.238861238821778343e+00,5.901734837153534308e+00,-1.343058387919870711e+03,-6.594743519599517640e+03,-2.466133585447276175e+02
2.840871772847326682e+01,3.238076076511648971e+00,5.905629699136635047e+00,-1.342431566287946225e+03,-6.594885692765989916e+03,-2.462735082775855631e+02
