# f=31.67754485207151,a=6760.000656878837,e=0.004426870208295852,i=26.264873442639626,Om=287.36198671622157,w=323.08397712963483,total_time=1.5,timestep=0.1
Bx,By,Bz,X,Y,Z
3.429447022479136109e+01,5.955289227734744451e+00,-8.298888643579042323e+00,-6.657968459632062149e+03,9.785916629485141129e+02,-2.608840051201017332e+02
3.429388517513621792e+01,5.955389747075745532e+00,-8.293564538168956446e+00,-6.658076683341039825e+03,9.779580060033172231e+02,-2.605442906933427594e+02
3.429329982540329524e+01,5.955490032610847528e+00,-8.288240553107963038e+00,-6.658184829754719431e+03,9.773243379251423448e+02,-2.602045728663587170e+02
3.429271417562702595e+01,5.955590084320994571e+00,-8.282916688621853041e+00,-6.658292898871928628e+03,9.766906587211034321e+02,-2.598648516435857800e+02
3.429212822552149476e+01,5.955689902440372663e+00,-8.277592943750812893e+00,-6.658400890762670315e+03,9.760569679127864902e+02,-2.595251270294602932e+02
3.429154197576142593e+01,5.955789486443454628e+00,-8.272269321092068139e+00,-6.658508805283373476e+03,9.754232664783738755e+02,-2.591853990284185443e+02
3.429095542606101077e+01,5.955888836564706246e+00,-8.266945819685853181e+00,-6.658616642504088304e+03,9.747895539394755815e+02,-2.588456676448967642e+02
3.429036857645485981e+01,5.955987952785312345e+00,-8.261622439758051328e+00,-6.658724402423649735e+03,9.741558303031878268e+02,-2.585059328833314680e+02
3.428978142697738463e+01,5.956086835086471964e+00,-8.256299181534577869e+00,-6.658832085040884522e+03,9.735220955766354791e+02,-2.581661947481590005e+02
3.428919397766319577e+01,5.956185483449456974e+00,-8.250976045241426249e+00,-6.658939690354622144e+03,9.728883497669480676e+02,-2.578264532438158767e+02
3.428860622822660531e+01,5.956283898107820995e+00,-8.245653029918818433e+00,-6.659047218434599017e+03,9.722545923956388378e+02,-2.574867083747384982e+02
3.428801817934284912e+01,5.956382078538377201e+00,-8.240330138164178919e+00,-6.659154669137800738e+03,9.716208244410128145e+02,-2.571469601453634368e+02
3.428742983072641692e+01,5.956480024974966092e+00,-8.235007369017839807e+00,-6.659262042534010106e+03,9.709870454246093914e+02,-2.568072085601272647e+02
3.428684118241194057e+01,5.956577737399054051e+00,-8.229684722705751909e+00,-6.659369338622063879e+03,9.703532553535261513e+02,-2.564674536234664401e+02
3.428625223443433612e+01,5.956675215792246902e+00,-8.224362199454038347e+00,-6.659476557400793354e+03,9.697194542349004678e+02,-2.561276953398177056e+02
3.428566298682842728e+01,5.956772460136128267e+00,-8.219039799488832898e+00,-6.659583698869035288e+03,9.690856420758751710e+02,-2.557879337136177469e+02
3.428507343962906617e+01,5.956869470412406997e+00,-8.213717523036097035e+00,-6.659690763025633714e+03,9.684518188835262436e+02,-2.554481687493031359e+02
3.428448359255071409e+01,5.956966246853795610e+00,-8.208395369136340491e+00,-6.659797749939999449e+03,9.678179841793559035e+02,-2.551084004513107857e+02
3.428389344626934587e+01,5.957062788939947673e+00,-8.203073340387083690e+00,-6.659904659469775652e+03,9.671841389417672872e+02,-2.547686288240772114e+02
3.428330300049954360e+01,5.957159096903875017e+00,-8.197751435828768862e+00,-6.660011491684427710e+03,9.665502826922288477e+02,-2.544288538720393831e+02
3.428271225527639388e+01,5.957255170727494331e+00,-8.192429655687588408e+00,-6.660118246582793290e+03,9.659164154378801186e+02,-2.540890755996340999e+02
3.428212121063501172e+01,5.957351010392764934e+00,-8.187108000189729395e+00,-6.660224924163717333e+03,9.652825371858161816e+02,-2.537492940112982183e+02
3.428152986661054058e+01,5.957446615881715424e+00,-8.181786469561417974e+00,-6.660331524426042051e+03,9.646486479431800944e+02,-2.534095091114687079e+02
3.428093822323825179e+01,5.957541987176444565e+00,-8.176465064028905161e+00,-6.660438047368614207e+03,9.640147477170913817e+02,-2.530697209045823968e+02
3.428034628023258534e+01,5.957637124508844195e+00,-8.171143782632785957e+00,-6.660544493060526293e+03,9.633808360289832535e+02,-2.527299293950762547e+02
3.427975403827048240e+01,5.957732027361415383e+00,-8.165822627970641179e+00,-6.660650861360082672e+03,9.627469138573313785e+02,-2.523901345873873652e+02
3.427916149706648241e+01,5.957826695966358166e+00,-8.160501599083168855e+00,-6.660757152336422223e+03,9.621129807235975022e+02,-2.520503364859527551e+02
3.427856865665603436e+01,5.957921130305987134e+00,-8.155180696196637768e+00,-6.660863365988395344e+03,9.614790366348900079e+02,-2.517105350952095080e+02
3.427797551707455881e+01,5.958015330362695927e+00,-8.149859919537362885e+00,-6.660969502314853344e+03,9.608450815983231905e+02,-2.513707304195947643e+02
3.427738207835761841e+01,5.958109296118892395e+00,-8.144539269331762199e+00,-6.661075561314642982e+03,9.602111156210351055e+02,-2.510309224635455791e+02
